source,date,baseline_cna,in_use_cna,operational_capacity,population,moj_prison_name,lat,lng,nomis_id,perc_pop_to_used_cna,perc_acc_available
10004C44pop_bull_jan_11.txt,2011-01-28,946,946,946,836,Acklington,55.2964636363,-1.6324150818,AKI,0.883720930233,1.0
10004C6Apop_bull_feb_11.txt,2011-02-25,946,946,946,820,Acklington,55.2964636363,-1.6324150818,AKI,0.866807610994,1.0
prison-population-bulletin-march-2011.txt,2011-03-25,946,890,890,819,Acklington,55.2964636363,-1.6324150818,AKI,0.920224719101,0.940803382664
prison-population-monthly-bulletin-april2011.txt,2011-04-15,946,890,890,851,Acklington,55.2964636363,-1.6324150818,AKI,0.956179775281,0.940803382664
prison-population-bulletin-may-2011.txt,2011-05-27,946,890,890,841,Acklington,55.2964636363,-1.6324150818,AKI,0.944943820225,0.940803382664
prison-population-bulletin-june.txt,2011-06-24,946,890,890,831,Acklington,55.2964636363,-1.6324150818,AKI,0.933707865169,0.940803382664
prison-population-bulletin-july-2011.txt,2011-07-29,946,890,890,826,Acklington,55.2964636363,-1.6324150818,AKI,0.92808988764,0.940803382664
10004C44pop_bull_jan_11.txt,2011-01-28,794,794,1324,1173,Altcourse,53.4609267593,-2.9360314937,ACI,1.47732997481,1.0
10004C6Apop_bull_feb_11.txt,2011-02-25,794,794,1324,1171,Altcourse,53.4609267593,-2.9360314937,ACI,1.47481108312,1.0
prison-population-bulletin-march-2011.txt,2011-03-25,794,794,1324,1139,Altcourse,53.4609267593,-2.9360314937,ACI,1.43450881612,1.0
prison-population-monthly-bulletin-april2011.txt,2011-04-15,794,794,1274,1143,Altcourse,53.4609267593,-2.9360314937,ACI,1.4395465995,1.0
prison-population-bulletin-may-2011.txt,2011-05-27,794,794,1204,1134,Altcourse,53.4609267593,-2.9360314937,ACI,1.4282115869,1.0
prison-population-bulletin-june.txt,2011-06-24,794,794,1204,1169,Altcourse,53.4609267593,-2.9360314937,ACI,1.47229219144,1.0
prison-population-bulletin-july-2011.txt,2011-07-29,794,794,1204,1181,Altcourse,53.4609267593,-2.9360314937,ACI,1.48740554156,1.0
prison-population-monthly-august-2011.txt,2011-08-26,794,794,1204,1195,Altcourse,53.4609267593,-2.9360314937,ACI,1.50503778338,1.0
