prison_name_original,prison_name_group,cat_a,cat_b,cat_c,cat_d,open,male,youth,adult,local,high_security,sex_offender,operator,done,opened,closed,prison_meta_info_source,,,,
Acklington,Acklington,,,1,,,1,,1,,,,HMPS,1,1972,2011,https://en.wikipedia.org/wiki/HM_Prison_Acklington,,,,https://www.justice.gov.uk/downloads/contacts/hmps/prison-finder/prison-map.pdf
Altcourse,Altcourse,,1,,,,1,1,1,,,,G4S,1,1997,?,http://www.justice.gov.uk/contacts/prison-finder/altcourse,,,,
Ashfield,Ashfield,,,1,,,1,,1,,,1,Serco,1,?,?,http://www.justice.gov.uk/contacts/prison-finder/ashfield,,,,
Ashwell,Ashwell,,,1,,,1,,1,,,,,1,1955,?,https://en.wikipedia.org/wiki/HM_Prison_Ashwell,,,,
Askham Grange,Askham Grange,,,,,1,0,1,1,,,,,1,1947,?,http://www.justice.gov.uk/contacts/prison-finder/askham-grange,http://insidetime.org/hmp-yoi-askham-grange-prison-regime-info/,,,
Aylesbury,Aylesbury,,,,,,1,1,0,,,,,1,1847,?,https://www.justice.gov.uk/contacts/prison-finder/aylesbury,,,,
Bedford,Bedford,,1,,,,1,,1,1,,,,1,1801,?,https://www.justice.gov.uk/contacts/prison-finder/bedford,,,,
Belmarsh,Belmarsh,1,,,,,1,,1,1,,,,1,1991,?,https://www.justice.gov.uk/contacts/prison-finder/belmarsh,https://en.wikipedia.org/wiki/HM_Prison_Belmarsh,,,
Birmingham,Birmingham,,1,1,,,1,,1,1,,,G4S,1,1849,?,https://www.justice.gov.uk/contacts/prison-finder/birmingham,https://en.wikipedia.org/wiki/HM_Prison_Birmingham,,,
Blantyre House,Blantyre House,,,1,1,,1,,1,,,,,1,1954,2007,https://www.justice.gov.uk/contacts/prison-finder/blantyre-house,,,,
Blundeston,Blundeston,,,1,,,1,,1,,,,,1,1963,?,https://en.wikipedia.org/wiki/HM_Prison_Blundeston,,,,
Brinsford,Brinsford,,,,,,1,1,0,,,,HMPS,1,1991,?,https://www.justice.gov.uk/contacts/prison-finder/brinsford,https://en.wikipedia.org/wiki/HM_Prison_Brinsford,,,
Bristol,Bristol,,1,,,,1,1,1,1,,,,1,1880,?,https://en.wikipedia.org/wiki/HM_Prison_Bristol,http://www.pastscape.org.uk/hob.aspx?hob_id=1098163,,,
Brixton,Brixton,,,1,1,,1,,1,1,,,HMPS,1,1820,?,https://www.justice.gov.uk/contacts/prison-finder/brixton,https://en.wikipedia.org/wiki/HM_Prison_Brixton,,,
Bronzefield,Bronzefield,1,,,,,0,1,1,,,,Sodexo,1,2004,?,https://www.justice.gov.uk/contacts/prison-finder/bronzefield,,,,
Buckley Hall,Buckley Hall,,,1,,,1,,1,,,,PSP,1,1995,?,http://www.justice.gov.uk/contacts/prison-finder/buckley-hall,,,,
Bullingdon,Bullingdon,,1,1,,,1,,1,1,,,,1,1992,?,http://www.justice.gov.uk/contacts/prison-finder/bullingdon,,,,
Bullwood Hall,Bullwood Hall,,,1,,,1,1,1,,,,,1,1960,2013,https://en.wikipedia.org/wiki/HM_Prison_Bullwood_Hall,,,,
Bure,Bure,,,1,,,1,,1,,,1,,1,2009,,http://www.justice.gov.uk/contacts/prison-finder/bure,,,,
Canterbury,Canterbury,,,1,,,1,,1,,,,,1,1808,2013,https://en.wikipedia.org/wiki/HM_Prison_Canterbury,,,,
Cardiff,Cardiff,,1,,,,1,,1,1,,,,1,1832,,http://www.justice.gov.uk/contacts/prison-finder/cardiff,,,,
Castington,Castington,,,,,,1,1,0,,,,,1,?,2011,https://en.wikipedia.org/wiki/HM_Prison_Castington,,,,
Channings Wood,Channings Wood,,,1,,,1,,1,,,1,,1,1973,,http://www.justice.gov.uk/contacts/prison-finder/channings-wood,,,,
Chelmsford,Chelmsford,,1,,,,1,1,1,1,,,,1,1830,,http://www.justice.gov.uk/contacts/prison-finder/chelmsford,,,,
Coldingley,Coldingley,,,1,,,1,,1,,,,,1,1969,,http://www.justice.gov.uk/contacts/prison-finder/coldingley,,,,
Cookham Wood,Cookham Wood,,,,,,1,1,0,,,,,1,1978,,http://www.justice.gov.uk/contacts/prison-finder/cookham-wood,,,,
Dartmoor,Dartmoor,,,1,,,1,,1,,,,,1,1809,,http://www.justice.gov.uk/contacts/prison-finder/dartmoor,,,,
Deerbolt,Deerbolt,,,1,,,1,1,0,,,,,1,1973,,http://www.justice.gov.uk/contacts/prison-finder/deerbolt,,,,
Doncaster,Doncaster,,1,,,,1,1,1,1,,,Serco,1,1994,,http://www.justice.gov.uk/contacts/prison-finder/doncaster,,,,
Dorchester,Dorchester,,,,,,1,,1,1,,,,1,?,2013,,,,,
Dovegate,Dovegate,,1,,,,1,,1,,,,Serco,1,2001,,http://www.justice.gov.uk/contacts/prison-finder/dovegate,https://en.wikipedia.org/wiki/HM_Prison_Dovegate,,,
Dover,Dover (IRC),,,,,,,,,,,,,1,1952,,http://www.justice.gov.uk/contacts/prison-finder/dover-immigration-removal-centre,,,,
Dover (IRC),Dover (IRC),,,,,,,,,,,,,1,1952,,http://www.justice.gov.uk/contacts/prison-finder/dover-immigration-removal-centre,,,,
Downview,Downview,,,,,,0,,1,,,,,1,1989,,http://www.justice.gov.uk/contacts/prison-finder/downview,,,,
Drake Hall,Drake Hall,,,,,,0,,1,,,,,,?,,http://www.justice.gov.uk/contacts/prison-finder/drake-hall,,,,
