prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,month_text,month
Altcourse,794,794,1133,1113,1.4,1.0, February 2015,2015-02-11
Ashfield,408,408,400,391,0.96,1.0, February 2015,2015-02-11
Askham Grange,150,126,128,102,0.81,0.84, February 2015,2015-02-11
Aylesbury,410,410,444,395,0.96,1.0, February 2015,2015-02-11
Bedford,322,322,511,497,1.54,1.0, February 2015,2015-02-11
Belmarsh,781,781,938,875,1.12,1.0, February 2015,2015-02-11
Birmingham,1093,1093,1450,1434,1.31,1.0, February 2015,2015-02-11
Blantyre House,122,122,122,6,0.05,1.0, February 2015,2015-02-11
Brinsford,545,423,455,394,0.93,0.78, February 2015,2015-02-11
Bristol,425,407,614,593,1.46,0.96, February 2015,2015-02-11
Brixton,530,530,810,781,1.47,1.0, February 2015,2015-02-11
Bronzefield,527,527,527,502,0.95,1.0, February 2015,2015-02-11
Buckley Hall,409,409,455,451,1.1,1.0, February 2015,2015-02-11
Bullingdon,879,879,1114,1100,1.25,1.0, February 2015,2015-02-11
Bure,611,611,651,649,1.06,1.0, February 2015,2015-02-11
Cardiff,539,539,820,797,1.48,1.0, February 2015,2015-02-11
Channings Wood,698,698,731,714,1.02,1.0, February 2015,2015-02-11
Chelmsford,550,550,745,723,1.31,1.0, February 2015,2015-02-11
Coldingley,507,507,519,509,1.0,1.0, February 2015,2015-02-11
Cookham Wood,188,188,188,166,0.88,1.0, February 2015,2015-02-11
Dartmoor,642,639,660,641,1.0,1.0, February 2015,2015-02-11
Deerbolt,513,513,513,454,0.88,1.0, February 2015,2015-02-11
Doncaster,738,738,1145,1142,1.55,1.0, February 2015,2015-02-11
Dovegate,1064,1060,1133,1104,1.04,1.0, February 2015,2015-02-11
Drake Hall,340,340,340,309,0.91,1.0, February 2015,2015-02-11
Durham,591,591,1015,937,1.59,1.0, February 2015,2015-02-11
East Sutton Park,98,98,100,93,0.95,1.0, February 2015,2015-02-11
Eastwood Park,410,315,363,319,1.01,0.77, February 2015,2015-02-11
Elmley (Sheppey),943,943,1252,1099,1.17,1.0, February 2015,2015-02-11
Erlestoke,494,494,524,515,1.04,1.0, February 2015,2015-02-11
Exeter,326,318,561,539,1.69,0.98, February 2015,2015-02-11
Featherstone,671,671,703,670,1.0,1.0, February 2015,2015-02-11
Feltham,762,650,650,528,0.81,0.85, February 2015,2015-02-11
Ford,521,521,539,503,0.97,1.0, February 2015,2015-02-11
Forest Bank,1064,1064,1460,1423,1.34,1.0, February 2015,2015-02-11
Foston Hall,303,303,345,294,0.97,1.0, February 2015,2015-02-11
Frankland,859,784,784,810,1.03,0.91, February 2015,2015-02-11
Full Sutton,604,596,618,595,1.0,0.99, February 2015,2015-02-11
Garth,811,750,773,734,0.98,0.92, February 2015,2015-02-11
Gartree,708,708,719,715,1.01,1.0, February 2015,2015-02-11
Glen Parva,637,589,728,565,0.96,0.92, February 2015,2015-02-11
Grendon / Springhill,586,554,554,535,0.97,0.95, February 2015,2015-02-11
Guys Marsh,518,518,579,566,1.09,1.0, February 2015,2015-02-11
Hatfield,266,266,266,260,0.98,1.0, February 2015,2015-02-11
Haverigg,622,622,654,649,1.04,1.0, February 2015,2015-02-11
Hewell,1018,1018,1309,1285,1.26,1.0, February 2015,2015-02-11
High Down,999,999,1163,1165,1.17,1.0, February 2015,2015-02-11
Highpoint (North and South),1311,1311,1343,1328,1.01,1.0, February 2015,2015-02-11
Hindley,534,150,198,188,1.25,0.28, February 2015,2015-02-11
Hollesley Bay,437,361,361,355,0.98,0.83, February 2015,2015-02-11
Holloway,540,533,591,523,0.98,0.99, February 2015,2015-02-11
Holme House,1036,1036,1230,1175,1.13,1.0, February 2015,2015-02-11
Hull,723,723,1056,989,1.37,1.0, February 2015,2015-02-11
Humber,948,924,1062,992,1.07,0.97, February 2015,2015-02-11
Huntercombe,370,307,430,421,1.37,0.83, February 2015,2015-02-11
Isis,478,478,628,603,1.26,1.0, February 2015,2015-02-11
Isle of Wight,1056,1056,1147,1085,1.03,1.0, February 2015,2015-02-11
Kennet,175,175,342,163,0.93,1.0, February 2015,2015-02-11
Kirkham,657,657,657,579,0.88,1.0, February 2015,2015-02-11
Kirklevington Grange,283,283,303,273,0.96,1.0, February 2015,2015-02-11
Lancaster Farms,495,495,549,545,1.1,1.0, February 2015,2015-02-11
Leeds,669,669,1224,1179,1.76,1.0, February 2015,2015-02-11
Leicester,214,214,414,354,1.65,1.0, February 2015,2015-02-11
Lewes,617,617,722,668,1.08,1.0, February 2015,2015-02-11
Leyhill,527,527,527,466,0.88,1.0, February 2015,2015-02-11
Lincoln,408,403,739,603,1.5,0.99, February 2015,2015-02-11
Lindholme,1048,924,1010,1000,1.08,0.88, February 2015,2015-02-11
Littlehey,1140,1139,1205,1203,1.06,1.0, February 2015,2015-02-11
Liverpool,1173,1159,1442,1188,1.03,0.99, February 2015,2015-02-11
Long Lartin,625,625,625,619,0.99,1.0, February 2015,2015-02-11
Low Newton,314,291,329,285,0.98,0.93, February 2015,2015-02-11
Lowdham Grange,900,900,920,919,1.02,1.0, February 2015,2015-02-11
Maidstone,565,565,614,608,1.08,1.0, February 2015,2015-02-11
Manchester,965,965,1301,1114,1.15,1.0, February 2015,2015-02-11
Moorland,943,943,1027,1022,1.08,1.0, February 2015,2015-02-11
Mount,778,778,812,804,1.03,1.0, February 2015,2015-02-11
New Hall,395,371,425,370,1.0,0.94, February 2015,2015-02-11
North Sea Camp,420,420,420,319,0.76,1.0, February 2015,2015-02-11
Northumberland,1348,1348,1348,1333,0.99,1.0, February 2015,2015-02-11
Norwich,626,626,783,765,1.22,1.0, February 2015,2015-02-11
