dt_name,dt_full_name,dt_region,dt_url,dt_address,dt_main_switchboard,dt_type_of_prison,dt_postcode,dt_lat,dt_lng
Altcourse,HMP Altcourse,NW,http://www.doingtime.co.uk/hmp-altcourse/,Higher Lane  Fazakerley  Liverpool L9 7LH,0151 522 2000,Male Cat B,L9 7LH,53.4609267593,-2.93603149372
Ashfield,HMP Ashfield,SW,http://www.doingtime.co.uk/hmp-ashfield/,"Shortwood Road,  Pucklechurch,  Bristol,  BS16 9QJ",0117 303 8000,Male Cat C Sex Offenders,BS16 9QJ,51.4824221724,-2.43886551033
Askham Grange,HMP & YOI Askham Grange,Y&H,http://www.doingtime.co.uk/hmp-yoi-askham-grange/,Askham Richard  York  YO23 3FT,01904 772000,Female adult and young offender,YO23 3FT,53.927080602,-1.18595717538
Aylesbury,HMYOI Aylesbury,SC,http://www.doingtime.co.uk/hmyoi-aylesbury/,Bierton Road  Aylesbury  Bucks  HP20 1EH,01296 444 000,"Male Young Offenders 18-21yrs old, with sentences in excess of 2 years",HP20 1EH,51.8219797857,-0.799881064145
Bedford,HMP Bedford,EoE,http://www.doingtime.co.uk/hmp-bedford/,St Loyes Street  Bedford  MK40 1HG,01234 373000,Local Cat B Male,MK40 1HG,52.1393214218,-0.470231826015
Belmarsh,HMP Belmarsh,Lon,http://www.doingtime.co.uk/hmp-belmarsh/,Western Way  Thamesmead  London SE28 0EB,020 8331 4400,Local male prison with high secure unit.,SE28 0EB,51.496846124,0.0927039036341
Birmingham,HMP Birmingham,WM,http://www.doingtime.co.uk/hmp-birmingham/,"Winson Green Road, Birmingham, B18 4AS",0121 598 8000,Male Cat B & C,B18 4AS,52.4924891883,-1.93851287891
Blantyre House,HMP Blantyre House,K&S,http://www.doingtime.co.uk/hmp-blantyre-house/,"Horden,Goudhurst,Kent, TN17 2NH",01580 213200,Male Cat C & D,TN17 2NH,,
Brinsford,HMYOI Brinsford,WM,http://www.doingtime.co.uk/hmp-brinsford/,"New Road, Featherstone, Wolverhampton, WV10 7PY",01902 533 450,Male Young Offenders (18-21),WV10 7PY,52.6501415705,-2.11081595747
Bristol,HMP Bristol,SW,http://www.doingtime.co.uk/hmp-bristol/,19 Cambridge Road  Bristol  BS7 8PS,0117 372 3100,Male Cat B,BS7 8PS,51.4806099304,-2.59066512448
Brixton,HMP Brixton,Lon,http://www.doingtime.co.uk/hmp-brixton/,Jebb Avenue  Brixton  LondonSW2 5XF,020 8588 6000,Male Cat C/D,SW2 5XF,51.4518242062,-0.125494005804
Bronzefield,HMP & YOI Bronzefield,Lon,http://www.doingtime.co.uk/hmp-yoi-bronzefield/,Woodthorpe Road  Ashford  Surrey TW15 3JZ,01784 425690,Female Adult and YO,TW15 3JZ,51.432920949,-0.482850391113
Buckley Hall,HMP Buckley Hall,NW,http://www.doingtime.co.uk/hmp-buckley-hall/,Buckley Hall Road  Rochdale  Lancashire  OL12 9DP,01706 514 300,Male Cat C,OL12 9DP,53.6349607494,-2.14504953027
Bullingdon,HMP Bullingdon,SC,http://www.doingtime.co.uk/hmp-bullingdon/,PO Box 50  Patrick Haugh Road  Bicester  OXON  OX25 1PZ,01869 353100,Male Cat B/C,OX25 1PZ,51.8484966339,-1.09442297112
Bure,HMP Bure,EoE,http://www.doingtime.co.uk/hmp-bure/,Jaguar Drive  Badersfield  Norwich  Norfolk  NR10 5GB,01603 326 000,Male Cat C,NR10 5GB,52.7590101248,1.34700732856
Cardiff,HMP Cardiff,Wal,http://www.doingtime.co.uk/hmp-cardiff/,Knox Road  Cardiff  CF24 0UG,02920 923100,Male Cat B/C,CF24 0UG,51.4808552338,-3.16823693653
Channings Wood,HMP Channings Wood,SW,http://www.doingtime.co.uk/hmp-channings-wood/,Denbury  Newton Abbot  Devon TQ12 6DW,01803 814 600,Male Cat C,TQ12 6DW,50.5104923393,-3.65182043422
