moj_prison_name,dt_prison_name,wiki_name
Acklington,,
Altcourse,Altcourse,Altcourse
Ashfield,Ashfield,Ashfield
Ashwell,,
Askham Grange,Askham Grange,Askham Grange
Aylesbury,Aylesbury,Aylesbury
Bedford,Bedford,Bedford
Belmarsh,Belmarsh,Belmarsh
Birmingham,Birmingham,Birmingham
Blantyre House,Blantyre House,
Blundeston,,
Brinsford,Brinsford,Brinsford
Bristol,Bristol,Bristol
Brixton,Brixton,Brixton
Bronzefield,Bronzefield,Bronzefield
Buckley Hall,Buckley Hall,Buckley Hall
Bullingdon,Bullingdon,Bullingdon
Bullwood Hall,,
Bure,Bure,Bure
Canterbury,,
Cardiff,Cardiff,Cardiff
Castington,,
Channings Wood,Channings Wood,Channings Wood
Chelmsford,Chelmsford,Chelmsford
Coldingley,Coldingley,Coldingley
Cookham Wood,Cookham Wood,Cookham Wood
Dartmoor,Dartmoor,Dartmoor
Deerbolt,Deerbolt,Deerbolt
Doncaster,Doncaster,Doncaster
Dorchester,,
Dovegate,Dovegate,Dovegate
Dover (IRC),,
Downview,,
Drake Hall,Drake Hall,Drake Hall
Durham,Durham,Durham
East Sutton Park,East Sutton Park,East Sutton Park
Eastwood Park,Eastwood Park,Eastwood Park
Edmunds Hill,,
Elmley (Sheppey),Elmley,Sheppey Cluster (Elmley)
Erlestoke,Erlestoke,Erlestoke
Everthorpe,,
Exeter,Exeter,Exeter
Featherstone,Featherstone,Featherstone
Feltham,Feltham,Feltham
Ford,Ford,Ford
Forest Bank,Forest Bank,Forest Bank
Foston Hall,Foston Hall,Foston Hall
Frankland,Frankland,Frankland
Full Sutton,Full Sutton,Full Sutton
Garth,Garth,Garth
Gartree,Gartree,Gartree
Glen Parva,Glen Parva,Glen Parva
Gloucester,,
Grendon,,
Grendon / Spring Hill,,
Guys Marsh,Guys Marsh,Guys Marsh
Haslar (IRC),,
Hatfield,Hatfield,Hatfield
Haverigg,Haverigg,Haverigg
Hewell,Hewell,Hewell
High Down,High Down,High Down
Highpoint,,
Highpoint (North and South),Highpoint,
Hindley,Hindley,Hindley
Hollesley Bay,Hollesley Bay,Hollesley Bay
Holloway,Holloway,Holloway
Holme House,Holme House,Holme House
Hull,Hull,Hull
Humber,Humber,
Huntercombe,Huntercombe,Huntercombe
Isis,Isis,Isis
Isle of Wight,Isle of Wight,
Kennet,Kennet,Kennet
Kingston,,
Kirkham,Kirkham,Kirkham
Kirklevington Grange,Kirklevington Grange,Kirklevington Grange
Lancaster,,
Lancaster Farms,Lancaster Farms,Lancaster Farms
Latchmere House,,
Leeds,Leeds,Leeds
Leicester,Leicester,Leicester
Lewes,Lewes,Lewes
Leyhill,Leyhill,Leyhill
Lincoln,Lincoln,Lincoln
Lindholme (IRC),,
Littlehey,Littlehey,Littlehey
Liverpool,Liverpool,Liverpool
Long Lartin,Long Lartin,Long Lartin
Low Newton,Low Newton,Low Newton
Lowdham Grange,Lowdham Grange,Lowdham Grange
Maidstone,Maidstone,Maidstone
Manchester,Manchester,Manchester
Moorland,Moorland,Moorland
Moorland / Hatfield,,
Moorland/ Moorland Open,,
Morton Hall (IRC),,
Mount,The Mount,The Mount
New Hall,New Hall,New Hall
North Sea Camp,North Sea Camp,North Sea Camp
Northallerton,,
Northumberland,Northumberland,Northumberland
Norwich,Norwich,Norwich
Nottingham,Nottingham,Nottingham
Oakwood,Oakwood,Oakwood
Onley,Onley,Onley
Parc,Parc,Parc
Pentonville,Pentonville,Pentonville
Peterborough (Female),Peterborough Female,
Peterborough (Male & Female),Peterborough Male,Peterborough
Peterborough (Male),,
Portland,Portland,Portland
Prescoed,Prescoed,
Preston,Preston,Preston
Ranby,Ranby,Ranby
Reading,,
Risley,Risley,Risley
Rochester,Rochester,Rochester
Rye Hill,Rye Hill,Rye Hill
Send,Send,Send
Sheppey,,
Shepton Mallet,,
Shepton Mallet / Erlestoke,,
Shrewsbury,,
Spring Hill,Spring Hill,
Stafford,Stafford,Stafford
Standford Hill (Sheppey),Standford Hill,Sheppey Cluster (Standford Hill)
Stocken,Stocken,Stocken
Stoke Heath,Stoke Heath,Stoke Heath
Styal,Styal,Styal
Sub Total,,
Sudbury,Sudbury,Sudbury
Swaleside (Sheppey),Swaleside,Sheppey Cluster (Swaleside)
Swansea,Swansea,Swansea
Swinfen Hall,Swinfen Hall,Swinfen Hall
Thameside,Thameside,Thameside
Thorn Cross,Thorn Cross,Thorn Cross
Total,,
Usk,,
Usk / Prescoed,Usk,Usk
Verne (IRC),,The Verne
Wakefield,Wakefield,Wakefield
Wandsworth,Wandsworth,Wandsworth
Warren Hill,Warren Hill,Warren Hill
Wayland,Wayland,Wayland
Wealstun,Wealstun,Wealstun
Wellingborough,,
Werrington,Werrington,Werrington
Wetherby,Wetherby,Wetherby
Whatton,Whatton,Whatton
Whitemoor,Whitemoor,Whitemoor
Winchester,Winchester,Winchester
Wolds,,
Woodhill,Woodhill,Woodhill
Wormwood Scrubs,Wormwood Scrubs,Wormwood Scrubs
Wymott,Wymott,Wymott
