prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,date,source
Altcourse,794,794,1133,1113,1.4,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Ashfield,408,408,400,391,0.96,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Askham Grange,150,126,128,102,0.81,0.84,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Aylesbury,410,410,444,395,0.96,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Bedford,322,322,511,497,1.54,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Belmarsh,781,781,938,875,1.12,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Birmingham,1093,1093,1450,1434,1.31,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Blantyre House,122,122,122,6,0.05,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Brinsford,545,423,455,394,0.93,0.78,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Bristol,425,407,614,593,1.46,0.96,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Brixton,530,530,810,781,1.47,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Bronzefield,527,527,527,502,0.95,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Buckley Hall,409,409,455,451,1.1,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Bullingdon,879,879,1114,1100,1.25,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Bure,611,611,651,649,1.06,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Cardiff,539,539,820,797,1.48,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Channings Wood,698,698,731,714,1.02,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Chelmsford,550,550,745,723,1.31,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Coldingley,507,507,519,509,1.0,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Cookham Wood,188,188,188,166,0.88,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Dartmoor,642,639,660,641,1.0,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Deerbolt,513,513,513,454,0.88,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Doncaster,738,738,1145,1142,1.55,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Dovegate,1064,1060,1133,1104,1.04,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Drake Hall,340,340,340,309,0.91,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Durham,591,591,1015,937,1.59,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
East Sutton Park,98,98,100,93,0.95,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Eastwood Park,410,315,363,319,1.01,0.77,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Elmley (Sheppey),943,943,1252,1099,1.17,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Erlestoke,494,494,524,515,1.04,1.0,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
Exeter,326,318,561,539,1.69,0.98,2015-02-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/412827/prison-population-figures-february-2015.rtf
