prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,date,source
Acklington,946,946,946,836,0.88,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Altcourse,794,794,1324,1173,1.48,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Ashfield,407,407,360,315,0.77,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Ashwell,599,184,214,159,0.86,0.31,2011-01-28,10004C44pop_bull_jan_11.txt
Askham Grange,150,126,128,128,1.02,0.84,2011-01-28,10004C44pop_bull_jan_11.txt
Aylesbury,437,421,444,424,1.01,0.96,2011-01-28,10004C44pop_bull_jan_11.txt
Bedford,322,321,506,471,1.47,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Belmarsh,800,800,933,835,1.04,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Birmingham,1112,1093,1450,1456,1.33,0.98,2011-01-28,10004C44pop_bull_jan_11.txt
Blantyre House,122,122,122,120,0.98,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Blundeston,481,409,454,435,1.06,0.85,2011-01-28,10004C44pop_bull_jan_11.txt
Brinsford,545,545,577,499,0.92,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Bristol,424,420,606,601,1.43,0.99,2011-01-28,10004C44pop_bull_jan_11.txt
Brixton,530,530,798,731,1.38,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Bronzefield,527,527,527,498,0.94,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Buckley Hall,350,350,385,381,1.09,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Bullingdon,879,879,1114,1102,1.25,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Bullwood Hall,220,220,228,222,1.01,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Bure,503,503,523,514,1.02,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Canterbury,195,195,314,304,1.56,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Cardiff,554,554,824,817,1.47,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Castington,407,407,409,248,0.61,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Channings Wood,698,698,731,707,1.01,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Chelmsford,554,554,695,678,1.22,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Coldingley,494,494,513,502,1.02,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Cookham Wood,143,143,143,97,0.68,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Dartmoor,635,493,514,496,1.01,0.78,2011-01-28,10004C44pop_bull_jan_11.txt
Deerbolt,513,513,513,479,0.93,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Doncaster,713,713,1145,1107,1.55,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Dorchester,146,146,260,231,1.58,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Dovegate,1064,1060,1135,1133,1.07,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Dover,316,316,316,292,0.92,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Downview,359,291,291,274,0.94,0.81,2011-01-28,10004C44pop_bull_jan_11.txt
Drake Hall,315,315,315,278,0.88,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Durham,606,606,1017,917,1.51,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
East Sutton Park,98,98,100,89,0.91,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Eastwood Park,333,333,363,327,0.98,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Edmunds Hill,389,379,379,378,1.0,0.97,2011-01-28,10004C44pop_bull_jan_11.txt
Elmley (Sheppey Cluster),943,925,1234,1176,1.27,0.98,2011-01-28,10004C44pop_bull_jan_11.txt
Erlestoke,470,370,370,366,0.99,0.79,2011-01-28,10004C44pop_bull_jan_11.txt
Everthorpe,603,603,689,653,1.08,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Exeter,322,316,545,519,1.64,0.98,2011-01-28,10004C44pop_bull_jan_11.txt
Featherstone,671,642,655,651,1.01,0.96,2011-01-28,10004C44pop_bull_jan_11.txt
Feltham,762,762,762,660,0.87,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
